competitionId,goalsHomeTeam,placeId,awayTeamId,goalsAwayTeam,status,homeTeamId,date
409,3,NULL,830,0,FINISHED,805,1970-06-02T23:00:00Z
409,2,NULL,822,1,FINISHED,811,1970-06-05T23:00:00Z
409,3,NULL,815,0,FINISHED,452,1970-06-05T23:00:00Z
409,0,NULL,784,0,FINISHED,758,1970-06-05T23:00:00Z
409,4,NULL,805,1,FINISHED,823,1970-06-05T23:00:00Z
409,1,NULL,1061,1,FINISHED,792,1970-06-06T23:00:00Z
409,1,NULL,770,0,FINISHED,764,1970-06-06T23:00:00Z
409,5,NULL,817,2,FINISHED,821,1970-06-06T23:00:00Z
409,4,NULL,830,0,FINISHED,769,1970-06-06T23:00:00Z
409,2,NULL,830,0,FINISHED,823,1970-06-09T23:00:00Z
409,1,NULL,758,0,FINISHED,792,1970-06-09T23:00:00Z
409,3,NULL,811,2,FINISHED,764,1970-06-09T23:00:00Z
409,3,NULL,452,1,FINISHED,821,1970-06-09T23:00:00Z
409,0,NULL,1061,0,FINISHED,784,1970-06-10T23:00:00Z
409,1,NULL,815,1,FINISHED,817,1970-06-10T23:00:00Z
409,1,NULL,805,0,FINISHED,769,1970-06-10T23:00:00Z
409,1,NULL,822,0,FINISHED,770,1970-06-10T23:00:00Z
409,4,NULL,452,2,FINISHED,764,1970-06-13T23:00:00Z
409,4,NULL,769,1,FINISHED,784,1970-06-13T23:00:00Z
409,2,NULL,770,2,FINISHED,759,1970-06-13T23:00:00Z
409,0,NULL,823,0,FINISHED,758,1970-06-13T23:00:00Z
409,1,NULL,821,1,FINISHED,784,1970-06-16T23:00:00Z
409,3,NULL,758,1,FINISHED,764,1970-06-16T23:00:00Z
409,1,NULL,758,0,FINISHED,821,1970-06-19T23:00:00Z
409,4,NULL,784,1,FINISHED,764,1970-06-20T23:00:00Z
375,0,NULL,812,0,FINISHED,764,1974-06-12T23:00:00Z
375,1,NULL,767,0,FINISHED,821,1974-06-13T23:00:00Z
375,0,NULL,814,2,FINISHED,835,1974-06-13T23:00:00Z
375,2,NULL,779,0,FINISHED,834,1974-06-13T23:00:00Z
375,3,NULL,836,1,FINISHED,784,1974-06-14T23:00:00Z
375,0,NULL,756,2,FINISHED,758,1974-06-14T23:00:00Z
375,0,NULL,817,0,FINISHED,792,1974-06-14T23:00:00Z
375,3,NULL,762,2,FINISHED,794,1974-06-14T23:00:00Z
375,9,NULL,835,0,FINISHED,812,1974-06-17T23:00:00Z
375,0,NULL,821,3,FINISHED,779,1974-06-17T23:00:00Z
375,0,NULL,764,0,FINISHED,814,1974-06-17T23:00:00Z
375,1,NULL,834,1,FINISHED,767,1974-06-17T23:00:00Z
375,1,NULL,758,1,FINISHED,817,1974-06-18T23:00:00Z
375,1,NULL,784,1,FINISHED,762,1974-06-18T23:00:00Z
375,0,NULL,792,0,FINISHED,756,1974-06-18T23:00:00Z
375,0,NULL,794,7,FINISHED,836,1974-06-18T23:00:00Z
375,0,NULL,764,3,FINISHED,835,1974-06-21T23:00:00Z
375,1,NULL,812,1,FINISHED,814,1974-06-21T23:00:00Z
375,1,NULL,821,0,FINISHED,834,1974-06-21T23:00:00Z
375,0,NULL,767,0,FINISHED,779,1974-06-21T23:00:00Z
375,4,NULL,836,1,FINISHED,762,1974-06-22T23:00:00Z
375,2,NULL,784,1,FINISHED,794,1974-06-22T23:00:00Z
375,3,NULL,758,0,FINISHED,792,1974-06-22T23:00:00Z
375,1,NULL,756,4,FINISHED,817,1974-06-22T23:00:00Z
375,4,NULL,762,0,FINISHED,756,1974-06-25T23:00:00Z
375,0,NULL,794,1,FINISHED,792,1974-06-25T23:00:00Z
375,0,NULL,821,2,FINISHED,812,1974-06-25T23:00:00Z
375,1,NULL,834,0,FINISHED,764,1974-06-25T23:00:00Z
375,0,NULL,756,2,FINISHED,834,1974-06-29T23:00:00Z
375,4,NULL,792,2,FINISHED,821,1974-06-29T23:00:00Z
375,2,NULL,812,1,FINISHED,794,1974-06-29T23:00:00Z
375,1,NULL,764,2,FINISHED,762,1974-06-29T23:00:00Z
375,1,NULL,834,1,FINISHED,762,1974-07-02T23:00:00Z
375,2,NULL,764,0,FINISHED,756,1974-07-02T23:00:00Z
375,0,NULL,821,1,FINISHED,794,1974-07-02T23:00:00Z
375,2,NULL,812,1,FINISHED,792,1974-07-02T23:00:00Z
375,0,NULL,794,1,FINISHED,764,1974-07-05T23:00:00Z
375,1,NULL,821,2,FINISHED,756,1974-07-06T23:00:00Z
381,0,NULL,794,0,FINISHED,821,1978-05-31T23:00:00Z
381,2,NULL,773,1,FINISHED,784,1978-06-01T23:00:00Z
381,3,NULL,769,1,FINISHED,802,1978-06-01T23:00:00Z
381,2,NULL,827,1,FINISHED,762,1978-06-01T23:00:00Z
381,3,NULL,595,0,FINISHED,756,1978-06-02T23:00:00Z
381,1,NULL,764,1,FINISHED,792,1978-06-02T23:00:00Z
381,2,NULL,760,1,FINISHED,816,1978-06-02T23:00:00Z
381,3,NULL,814,1,FINISHED,452,1978-06-02T23:00:00Z
381,6,NULL,769,0,FINISHED,821,1978-06-05T23:00:00Z
381,2,NULL,773,1,FINISHED,762,1978-06-05T23:00:00Z
381,1,NULL,802,0,FINISHED,794,1978-06-05T23:00:00Z
381,3,NULL,827,1,FINISHED,784,1978-06-05T23:00:00Z
381,1,NULL,792,0,FINISHED,816,1978-06-06T23:00:00Z
381,0,NULL,452,0,FINISHED,756,1978-06-06T23:00:00Z
381,0,NULL,760,0,FINISHED,764,1978-06-06T23:00:00Z
381,1,NULL,595,1,FINISHED,814,1978-06-06T23:00:00Z
381,0,NULL,802,0,FINISHED,821,1978-06-09T23:00:00Z
381,3,NULL,769,1,FINISHED,794,1978-06-09T23:00:00Z
381,1,NULL,762,0,FINISHED,784,1978-06-09T23:00:00Z
381,3,NULL,827,1,FINISHED,773,1978-06-09T23:00:00Z
381,4,NULL,595,1,FINISHED,452,1978-06-10T23:00:00Z
381,3,NULL,756,2,FINISHED,814,1978-06-10T23:00:00Z
381,1,NULL,792,0,FINISHED,760,1978-06-10T23:00:00Z
381,1,NULL,816,0,FINISHED,764,1978-06-10T23:00:00Z
381,0,NULL,784,0,FINISHED,821,1978-06-13T23:00:00Z
381,2,NULL,794,0,FINISHED,762,1978-06-13T23:00:00Z
381,3,NULL,452,0,FINISHED,764,1978-06-13T23:00:00Z
381,5,NULL,816,1,FINISHED,756,1978-06-13T23:00:00Z
381,2,NULL,756,2,FINISHED,821,1978-06-17T23:00:00Z
381,1,NULL,452,0,FINISHED,794,1978-06-17T23:00:00Z
381,0,NULL,764,0,FINISHED,762,1978-06-17T23:00:00Z
381,1,NULL,816,0,FINISHED,784,1978-06-17T23:00:00Z
381,3,NULL,821,2,FINISHED,816,1978-06-20T23:00:00Z
381,2,NULL,784,1,FINISHED,756,1978-06-20T23:00:00Z
381,6,NULL,452,0,FINISHED,762,1978-06-20T23:00:00Z
381,3,NULL,794,1,FINISHED,764,1978-06-20T23:00:00Z
381,2,NULL,784,1,FINISHED,764,1978-06-23T23:00:00Z
381,1,NULL,756,1,FINISHED,762,1978-06-24T23:00:00Z
373,0,NULL,805,1,FINISHED,762,1982-06-12T22:00:00Z
373,0,NULL,794,0,FINISHED,784,1982-06-13T22:00:00Z
373,2,NULL,823,1,FINISHED,764,1982-06-13T22:00:00Z
373,5,NULL,783,2,FINISHED,814,1982-06-14T22:00:00Z
373,0,NULL,830,1,FINISHED,827,1982-06-14T22:00:00Z
373,0,NULL,781,0,FINISHED,452,1982-06-14T22:00:00Z
373,1,NULL,789,1,FINISHED,760,1982-06-15T22:00:00Z
373,3,NULL,773,1,FINISHED,770,1982-06-15T22:00:00Z
373,1,NULL,778,2,FINISHED,821,1982-06-15T22:00:00Z
373,0,NULL,829,0,FINISHED,812,1982-06-16T22:00:00Z
373,1,NULL,831,1,FINISHED,822,1982-06-16T22:00:00Z
373,0,NULL,816,1,FINISHED,767,1982-06-16T22:00:00Z
373,1,NULL,832,1,FINISHED,784,1982-06-17T22:00:00Z
373,4,NULL,827,1,FINISHED,762,1982-06-17T22:00:00Z
373,4,NULL,814,1,FINISHED,764,1982-06-17T22:00:00Z
373,3,NULL,783,0,FINISHED,823,1982-06-18T22:00:00Z
373,0,NULL,781,0,FINISHED,794,1982-06-18T22:00:00Z
373,1,NULL,830,0,FINISHED,805,1982-06-18T22:00:00Z
373,2,NULL,822,0,FINISHED,770,1982-06-19T22:00:00Z
373,2,NULL,812,1,FINISHED,760,1982-06-19T22:00:00Z
373,4,NULL,767,1,FINISHED,821,1982-06-19T22:00:00Z
373,0,NULL,816,2,FINISHED,778,1982-06-20T22:00:00Z
373,4,NULL,831,1,FINISHED,773,1982-06-20T22:00:00Z
373,1,NULL,829,1,FINISHED,789,1982-06-20T22:00:00Z
373,5,NULL,832,1,FINISHED,794,1982-06-21T22:00:00Z
373,1,NULL,827,1,FINISHED,805,1982-06-21T22:00:00Z
373,2,NULL,814,2,FINISHED,823,1982-06-21T22:00:00Z
373,1,NULL,781,1,FINISHED,784,1982-06-22T22:00:00Z
373,2,NULL,830,0,FINISHED,762,1982-06-22T22:00:00Z
373,4,NULL,783,0,FINISHED,764,1982-06-22T22:00:00Z
373,0,NULL,812,1,FINISHED,789,1982-06-23T22:00:00Z
373,1,NULL,822,1,FINISHED,773,1982-06-23T22:00:00Z
373,3,NULL,767,2,FINISHED,778,1982-06-23T22:00:00Z
373,1,NULL,760,0,FINISHED,829,1982-06-24T22:00:00Z
373,1,NULL,816,0,FINISHED,821,1982-06-24T22:00:00Z
373,1,NULL,831,0,FINISHED,770,1982-06-24T22:00:00Z
373,0,NULL,773,1,FINISHED,816,1982-06-27T22:00:00Z
373,3,NULL,805,0,FINISHED,794,1982-06-27T22:00:00Z
373,2,NULL,762,1,FINISHED,784,1982-06-28T22:00:00Z
373,0,NULL,770,0,FINISHED,821,1982-06-28T22:00:00Z
373,0,NULL,823,1,FINISHED,805,1982-06-30T22:00:00Z
373,2,NULL,829,2,FINISHED,816,1982-06-30T22:00:00Z
373,1,NULL,764,3,FINISHED,762,1982-07-01T22:00:00Z
373,2,NULL,760,1,FINISHED,821,1982-07-01T22:00:00Z
373,4,NULL,829,1,FINISHED,773,1982-07-03T22:00:00Z
373,0,NULL,823,0,FINISHED,794,1982-07-03T22:00:00Z
373,0,NULL,770,0,FINISHED,760,1982-07-04T22:00:00Z
373,3,NULL,764,2,FINISHED,784,1982-07-04T22:00:00Z
373,3,NULL,773,3,FINISHED,759,1982-07-07T22:00:00Z
373,0,NULL,784,2,FINISHED,794,1982-07-07T22:00:00Z
373,3,NULL,773,2,FINISHED,794,1982-07-09T22:00:00Z
